factory_id,factory_lat,factory_lon,store_id,store_lat,store_lon,distance_km,travel_h
10,25.048296,102.711075,13,25.050038,102.713552,1.76,0.0401
10,25.048296,102.711075,36,25.039971,102.711598,2.03,0.0471
10,25.048296,102.711075,29,25.048151,102.698887,2.05,0.0444
10,25.048296,102.711075,25,25.044307,102.698815,2.09,0.0436
10,25.048296,102.711075,14,25.044113,102.70872,2.19,0.0574
10,25.048296,102.711075,65,25.045393,102.699744,2.2,0.0574
10,25.048296,102.711075,9,25.040698,102.708656,2.26,0.0528
10,25.048296,102.711075,20,25.039458,102.708842,2.28,0.0597
10,25.048296,102.711075,27,25.03954,102.708709,2.28,0.0597
10,25.048296,102.711075,1,25.038232,102.709463,2.43,0.0616
10,25.048296,102.711075,6,25.038259,102.709537,2.43,0.0616
10,25.048296,102.711075,23,25.038231,102.709577,2.43,0.0616
10,25.048296,102.711075,59,25.035963,102.712313,2.47,0.0555
10,25.048296,102.711075,2,25.038431,102.708774,2.51,0.0642
10,25.048296,102.711075,5,25.036758,102.711479,2.57,0.0572
10,25.048296,102.711075,7,25.036777,102.709338,2.78,0.0607
10,25.048296,102.711075,53,25.042435,102.722253,2.91,0.0608
10,25.048296,102.711075,24,25.036582,102.720998,3.47,0.0643
10,25.048296,102.711075,32,25.037792,102.720133,3.54,0.0654
10,25.048296,102.711075,47,25.029787,102.723431,3.91,0.0715
10,25.048296,102.711075,12,25.036139,102.711831,4.07,0.0823
10,25.048296,102.711075,50,25.065918,102.723109,4.08,0.0779
10,25.048296,102.711075,45,25.035975,102.712825,4.15,0.0836
10,25.048296,102.711075,4,25.033193,102.720373,4.22,0.0841
10,25.048296,102.711075,26,25.032488,102.709097,4.27,0.092
10,25.048296,102.711075,3,25.023279,102.713511,4.65,0.0871
10,25.048296,102.711075,34,25.021039,102.723025,4.68,0.0916
10,25.048296,102.711075,22,25.01892,102.721192,4.71,0.0924
10,25.048296,102.711075,41,25.029838,102.731797,4.71,0.0872
10,25.048296,102.711075,62,25.056526,102.734395,5.19,0.1076
10,25.048296,102.711075,18,25.030005,102.734582,5.69,0.1118
10,25.048296,102.711075,35,25.01759,102.720254,5.81,0.1012
10,25.048296,102.711075,8,25.017778,102.718046,6.05,0.1041
10,25.048296,102.711075,44,25.037148,102.662709,6.58,0.1289
10,25.048296,102.711075,16,25.007315,102.709421,7.06,0.142
10,25.048296,102.711075,67,25.006243,102.735529,7.19,0.1353
10,25.048296,102.711075,52,25.020036,102.709004,7.2,0.1455
10,25.048296,102.711075,39,25.006938,102.710096,7.22,0.1534
10,25.048296,102.711075,42,25.012332,102.741341,7.43,0.1455
10,25.048296,102.711075,37,25.062727,102.656527,7.64,0.1455
10,25.048296,102.711075,10,25.008485,102.683689,8.84,0.1725
10,25.048296,102.711075,40,25.107158,102.728729,8.89,0.1815
10,25.048296,102.711075,60,25.102171,102.731267,9.06,0.1682
10,25.048296,102.711075,63,25.103131,102.733174,9.56,0.1774
10,25.048296,102.711075,66,24.977922,102.713,10.54,0.2189
10,25.048296,102.711075,55,24.992294,102.684547,10.59,0.1877
10,25.048296,102.711075,30,24.993108,102.684326,11.1,0.1963
10,25.048296,102.711075,28,24.985728,102.675479,11.94,0.22
10,25.048296,102.711075,54,24.976499,102.763515,12.55,0.2007
10,25.048296,102.711075,11,24.975782,102.761436,12.62,0.2029
10,25.048296,102.711075,57,24.967684,102.666279,13.97,0.2537
10,25.048296,102.711075,64,24.953883,102.75418,14.57,0.2493
10,25.048296,102.711075,48,24.954918,102.754512,14.7,0.2556
10,25.048296,102.711075,51,24.951159,102.762866,15.61,0.2531
10,25.048296,102.711075,15,24.946946,102.766473,15.8,0.2481
10,25.048296,102.711075,33,24.967073,102.792852,18.43,0.2552
10,25.048296,102.711075,31,24.902825,102.788144,22.9,0.2962
10,25.048296,102.711075,61,24.903374,102.787903,22.9,0.2962
10,25.048296,102.711075,38,24.877277,102.825018,26.79,0.3275
10,25.048296,102.711075,49,24.880873,102.824558,27.58,0.343
10,25.048296,102.711075,58,24.887839,102.825318,28.52,0.3548
10,25.048296,102.711075,43,24.856251,102.836921,29.11,0.3642
10,25.048296,102.711075,46,24.857566,102.860076,32.01,0.4408
11,25.098182,102.725621,60,25.102171,102.731267,1.67,0.0465
11,25.098182,102.725621,40,25.107158,102.728729,1.71,0.055
11,25.098182,102.725621,63,25.103131,102.733174,2.21,0.0621
11,25.098182,102.725621,50,25.065918,102.723109,5.77,0.1152
11,25.098182,102.725621,21,25.054849,102.704789,7.37,0.1578
11,25.098182,102.725621,19,25.049371,102.707042,7.99,0.1712
11,25.098182,102.725621,56,25.045098,102.714254,8.22,0.1521
11,25.098182,102.725621,62,25.056526,102.734395,8.32,0.1516
11,25.098182,102.725621,13,25.050038,102.713552,8.71,0.1648
11,25.098182,102.725621,36,25.039971,102.711598,9.01,0.1713
11,25.098182,102.725621,25,25.044307,102.698815,9.02,0.1681
11,25.098182,102.725621,29,25.048151,102.698887,9.05,0.1703
11,25.098182,102.725621,53,25.042435,102.722253,9.14,0.1733
11,25.098182,102.725621,14,25.044113,102.70872,9.2,0.1833
11,25.098182,102.725621,9,25.040698,102.708656,9.24,0.177
11,25.098182,102.725621,59,25.035963,102.712313,9.4,0.1717
11,25.098182,102.725621,1,25.038232,102.709463,9.41,0.1858
11,25.098182,102.725621,6,25.038259,102.709537,9.41,0.1858
11,25.098182,102.725621,23,25.038231,102.709577,9.41,0.1858
